location,job_title,publisher_name,publisher_link,min_salary,max_salary,median_salary,salary_period,salary_currency
United States,Project Manager,Glassdoor,https://Glassdoor.com/Project Manager,72499.0,134999.0,95235.0,YEAR,USD
United States,Project Manager,Indeed,https://Indeed.com/Project Manager,73199.0,135499.0,95535.0,YEAR,USD
United States,Project Manager,Payscale,https://Payscale.com/Project Manager,73299.0,135599.0,95635.0,YEAR,USD
United States,Software Engineer,Glassdoor,https://Glassdoor.com/Software Engineer,98778.0,165000.0,123724.0,YEAR,USD
United States,Software Engineer,Indeed,https://Indeed.com/Software Engineer,99178.0,165300.0,123924.0,YEAR,USD
United States,Software Engineer,Payscale,https://Payscale.com/Software Engineer,99578.0,165600.0,124124.0,YEAR,USD
United States,Business Analyst,Glassdoor,https://Glassdoor.com/Business Analyst,91976.0,123541.0,91357.0,YEAR,USD
United States,Business Analyst,Indeed,https://Indeed.com/Business Analyst,92376.0,123841.0,91557.0,YEAR,USD
United States,Business Analyst,Payscale,https://Payscale.com/Business Analyst,92776.0,124141.0,91757.0,YEAR,USD
United States,Product Manager,Glassdoor,https://Glassdoor.com/Product Manager,100000.0,165155.0,125780.0,YEAR,USD
United States,Product Manager,Indeed,https://Indeed.com/Product Manager,100400.0,165455.0,125980.0,YEAR,USD
United States,Product Manager,Payscale,https://Payscale.com/Product Manager,100800.0,165755.0,126180.0,YEAR,USD
United States,Data Scientist,Glassdoor,https://Glassdoor.com/Data Scientist,102637.0,171534.0,127871.0,YEAR,USD
United States,Data Scientist,Indeed,https://Indeed.com/Data Scientist,103037.0,171834.0,128071.0,YEAR,USD
United States,Data Scientist,Payscale,https://Payscale.com/Data Scientist,103437.0,172134.0,128271.0,YEAR,USD
United States,Data Analyst,Glassdoor,https://Glassdoor.com/Data Analyst,69060.0,85174.0,77117.0,YEAR,USD
United States,Data Analyst,Indeed,https://Indeed.com/Data Analyst,69060.0,85174.0,77117.0,YEAR,USD
United States,Data Analyst,Payscale,https://Payscale.com/Data Analyst,69060.0,85174.0,77117.0,YEAR,USD
United States,Data Engineer,Glassdoor,https://Glassdoor.com/Data Engineer,106410.0,170000.0,129982.0,YEAR,USD
United States,Data Engineer,Indeed,https://Indeed.com/Data Engineer,106810.0,170300.0,130182.0,YEAR,USD
United States,Data Engineer,Payscale,https://Payscale.com/Data Engineer,107210.0,170600.0,130382.0,YEAR,USD
United States,Senior Software Engineer,Glassdoor,https://Glassdoor.com/Senior Software Engineer,115001.0,170067.0,135000.0,YEAR,USD
United States,Senior Software Engineer,Indeed,https://Indeed.com/Senior Software Engineer,115401.0,170367.0,135200.0,YEAR,USD
United States,Senior Software Engineer,Payscale,https://Payscale.com/Senior Software Engineer,115801.0,170667.0,135400.0,YEAR,USD
United States,DevOps Engineer,Glassdoor,https://Glassdoor.com/DevOps Engineer,110006.0,165000.0,130000.0,YEAR,USD
United States,DevOps Engineer,Indeed,https://Indeed.com/DevOps Engineer,110406.0,165300.0,130200.0,YEAR,USD
United States,DevOps Engineer,Payscale,https://Payscale.com/DevOps Engineer,110806.0,165600.0,130400.0,YEAR,USD
United States,Senior Project Manager,Glassdoor,https://Glassdoor.com/Senior Project Manager,97506.0,155000.0,120000.0,YEAR,USD
United States,Senior Project Manager,Indeed,https://Indeed.com/Senior Project Manager,97906.0,155300.0,120200.0,YEAR,USD
United States,Senior Project Manager,Payscale,https://Payscale.com/Senior Project Manager,98306.0,155600.0,120400.0,YEAR,USD
United States,Business Development Manager,Glassdoor,https://Glassdoor.com/Business Development Manager,67666.0,162809.0,99997.0,YEAR,USD
United States,Business Development Manager,Indeed,https://Indeed.com/Business Development Manager,68066.0,163109.0,100197.0,YEAR,USD
United States,Business Development Manager,Payscale,https://Payscale.com/Business Development Manager,68466.0,163409.0,100397.0,YEAR,USD
United States,Senior Data Scientist,Glassdoor,https://Glassdoor.com/Senior Data Scientist,130000.0,189144.0,150379.0,YEAR,USD
United States,Senior Data Scientist,Indeed,https://Indeed.com/Senior Data Scientist,130400.0,189444.0,150579.0,YEAR,USD
United States,Senior Data Scientist,Payscale,https://Payscale.com/Senior Data Scientist,130800.0,189744.0,150779.0,YEAR,USD
United States,Senior Product Manager,Glassdoor,https://Glassdoor.com/Senior Product Manager,125000.0,177958.0,141937.0,YEAR,USD
United States,Senior Product Manager,Indeed,https://Indeed.com/Senior Product Manager,125400.0,178258.0,142137.0,YEAR,USD
United States,Senior Product Manager,Payscale,https://Payscale.com/Senior Product Manager,125800.0,178558.0,142337.0,YEAR,USD
United States,Product Owner,Glassdoor,https://Glassdoor.com/Product Owner,97696.0,144482.0,116185.0,YEAR,USD
United States,Product Owner,Indeed,https://Indeed.com/Product Owner,98096.0,144782.0,116385.0,YEAR,USD
United States,Product Owner,Payscale,https://Payscale.com/Product Owner,98496.0,145082.0,116585.0,YEAR,USD
United States,Software Developer,Glassdoor,https://Glassdoor.com/Software Developer,85000.0,147747.0,107378.0,YEAR,USD
United States,Software Developer,Indeed,https://Indeed.com/Software Developer,85400.0,148047.0,107578.0,YEAR,USD
United States,Software Developer,Payscale,https://Payscale.com/Software Developer,85800.0,148347.0,107778.0,YEAR,USD
United States,Senior Business Analyst,Glassdoor,https://Glassdoor.com/Senior Business Analyst,87707.0,132381.0,104254.0,YEAR,USD
United States,Senior Business Analyst,Indeed,https://Indeed.com/Senior Business Analyst,88107.0,132681.0,104454.0,YEAR,USD
United States,Senior Business Analyst,Payscale,https://Payscale.com/Senior Business Analyst,88507.0,132981.0,104654.0,YEAR,USD
United States,IT Project Manager,Glassdoor,https://Glassdoor.com/IT Project Manager,91839.0,141488.0,112123.0,YEAR,USD
